frase,polaridad
"indigna este peticiones, es lamentable",0
" satisface este quejas, es excelente",1
"disgustaria este peticiones, es horrible",0
"gustaria este peticiones, es gracias",1
" satisface este reclamos, es asombroso",1
"agrada este peticiones, es contento",1
" satisface este quejas, es estupendo",1
"molesto este reclamos, es ignorado",0
" complace este preguntas, es genial",1
" sirve este preguntas, es maravilloso",1
" fascina este quejas, es fantastico",1
"agradaria este peticiones, es bueno",1
"gusta este preguntas, es genial",1
"desastroso este peticiones, es fallos",0
"disgusta este quejas, es insatisfecho",0
"disgustaria este peticiones, es malo",0
"encantaria este peticiones, es increible",1
"agradaria este peticiones, es increible",1
"encantaria este reclamos, es excelente",1
"fascinaria este quejas, es eficiente",1
" satisface este peticiones, es maravilloso",1
"indigna este quejas, es malo",0
"odio este peticiones, es despreciable",0
" fascina este preguntas, es fantastico",1
"gustaria este peticiones, es agradable",1
"agradaria este peticiones, es estupendo",1
" encanta este reclamos, es asombroso",1
"odio este quejas, es descontento",0
" cautiva este preguntas, es eficiente",1
"horrible este reclamos, es decepcion",0
" satisface este preguntas, es estupendo",1
"fascinaria este preguntas, es gracias",1
"gusta este peticiones, es bueno",1
"agrada este preguntas, es satisfecho",1
"terrible este preguntas, es descontento",0
"fascinaria este reclamos, es genial",1
"odio este quejas, es despreciable",0
"molesto este preguntas, es terrible",0
"gusta este quejas, es rapido",1
" satisface este peticiones, es satisfecho",1
"disgusta este quejas, es malo",0
"terrible este preguntas, es ignorado",0
"disgusta este reclamos, es fallos",0
"agradaria este quejas, es fantastico",1
"desastroso este reclamos, es ineficiente",0
" complace este preguntas, es asombroso",1
"desastroso este preguntas, es problemas",0
"desastroso este preguntas, es despreciable",0
"fascinaria este preguntas, es increible",1
"desastroso este quejas, es ineficiente",0
"terrible este peticiones, es malo",0
"indigna este reclamos, es insatisfecho",0
"odio este peticiones, es horrible",0
"fascinaria este peticiones, es agradable",1
"indigna este peticiones, es lamentable",0
" sirve este peticiones, es genial",1
"desastroso este peticiones, es dificultades",0
"disgusta este peticiones, es desagrada",0
"odio este preguntas, es grosero",0
"odio este quejas, es descontento",0
"encantaria este reclamos, es maravilla",1
"gusta este quejas, es contento",1
"malo este quejas, es despreciable",0
" sirve este quejas, es bueno",1
"encantaria este quejas, es favor",1
"indigna este peticiones, es desagrada",0
"desastroso este quejas, es lamentable",0
"desastroso este peticiones, es lamentable",0
"agrada este quejas, es fantastico",1
"fascinaria este quejas, es gracias",1
" complace este peticiones, es maravilloso",1
" complace este preguntas, es increible",1
" complace este quejas, es bueno",1
"gustaria este reclamos, es eficiente",1
"molesto este preguntas, es lamentable",0
"malo este reclamos, es ignorado",0
" complace este peticiones, es maravilloso",1
"horrible este reclamos, es frustante",0
" sirve este quejas, es gracias",1
"odio este reclamos, es desagrada",0
"fascinaria este reclamos, es agradable",1
"horrible este preguntas, es grosero",0
"encantaria este preguntas, es gracias",1
"desastroso este peticiones, es decepcion",0
"odio este peticiones, es lamentable",0
"agradaria este peticiones, es maravilloso",1
"disgusta este reclamos, es incompleto",0
"agradaria este preguntas, es rapido",1
"disgustaria este quejas, es decepcion",0
" cautiva este preguntas, es gracias",1
" cautiva este reclamos, es maravilla",1
"horrible este peticiones, es fallos",0
"desastroso este peticiones, es lamentable",0
"encantaria este preguntas, es genial",1
"desastroso este quejas, es frustante",0
"gustaria este quejas, es rapido",1
"desastroso este preguntas, es decepcion",0
" cautiva este quejas, es agradable",1
"disgustaria este preguntas, es fallos",0
"molesto este reclamos, es horrible",0
" complace este quejas, es gracias",1
" cautiva este preguntas, es favor",1
"horrible este peticiones, es descontento",0
"malo este preguntas, es ignorado",0
"horrible este preguntas, es incompleto",0
" sirve este quejas, es rapido",1
"horrible este peticiones, es frustante",0
"terrible este reclamos, es dificultades",0
"indigna este quejas, es decepcion",0
"desastroso este peticiones, es incompleto",0
" sirve este quejas, es increible",1
"indigna este quejas, es incompleto",0
"molesto este preguntas, es ineficiente",0
"gustaria este peticiones, es agradable",1
"encantaria este preguntas, es genial",1
"gusta este quejas, es fantastico",1
" complace este quejas, es contento",1
" satisface este preguntas, es fantastico",1
"molesto este reclamos, es malo",0
"fascinaria este preguntas, es estupendo",1
"indigna este peticiones, es frustante",0
"malo este reclamos, es horrible",0
"gusta este preguntas, es eficiente",1
"encantaria este preguntas, es fantastico",1
"odio este peticiones, es ignorado",0
"horroroso este preguntas, es incompleto",0
"odio este quejas, es dificultades",0
"gustaria este reclamos, es agradable",1
"gustaria este preguntas, es maravilloso",1
"terrible este preguntas, es desagrada",0
" sirve este quejas, es excelente",1
"disgusta este reclamos, es lamentable",0
"malo este reclamos, es dificultades",0
"malo este quejas, es horrible",0
"gustaria este peticiones, es favor",1
"agradaria este quejas, es maravilla",1
" complace este peticiones, es satisfecho",1
"molesto este peticiones, es fallos",0
" encanta este preguntas, es favor",1
"molesto este peticiones, es desagrada",0
"malo este quejas, es ignorado",0
"horroroso este preguntas, es ignorado",0
" sirve este quejas, es fantastico",1
" fascina este preguntas, es satisfecho",1
" complace este preguntas, es favor",1
"encantaria este peticiones, es bueno",1
"horrible este peticiones, es despreciable",0
"disgusta este reclamos, es poco",0
"fascinaria este quejas, es genial",1
"horrible este preguntas, es decepcion",0
"horroroso este reclamos, es ignorado",0
" fascina este reclamos, es satisfecho",1
"encantaria este reclamos, es increible",1
"gusta este preguntas, es favor",1
"terrible este reclamos, es fallos",0
"gusta este quejas, es estupendo",1
"horrible este peticiones, es incompleto",0
" complace este reclamos, es rapido",1
" encanta este quejas, es satisfecho",1
" fascina este quejas, es estupendo",1
"terrible este preguntas, es insatisfecho",0
"odio este preguntas, es ineficiente",0
"encantaria este reclamos, es excelente",1
" complace este preguntas, es increible",1
"horrible este peticiones, es desagrada",0
"terrible este quejas, es ignorado",0
" satisface este reclamos, es bueno",1
"desastroso este quejas, es ignorado",0
"malo este preguntas, es dificultades",0
" sirve este quejas, es fantastico",1
"gusta este quejas, es estupendo",1
"gustaria este quejas, es eficiente",1
"terrible este peticiones, es ineficiente",0
"desastroso este peticiones, es problemas",0
"desastroso este quejas, es ignorado",0
"horrible este quejas, es decepcion",0
"odio este preguntas, es ignorado",0
" cautiva este quejas, es satisfecho",1
"agradaria este reclamos, es rapido",1
"odio este peticiones, es problemas",0
"terrible este reclamos, es incompleto",0
" complace este quejas, es maravilloso",1
"odio este peticiones, es grosero",0
"horrible este preguntas, es desagrada",0
"disgustaria este peticiones, es dificultades",0
"odio este peticiones, es incompleto",0
"malo este reclamos, es terrible",0
"malo este peticiones, es despreciable",0
"agradaria este reclamos, es agradable",1
" complace este peticiones, es bueno",1
"odio este peticiones, es ineficiente",0
"agradaria este reclamos, es bueno",1
" encanta este peticiones, es bueno",1
"encantaria este peticiones, es contento",1
"indigna este reclamos, es problemas",0
"agradaria este peticiones, es genial",1
"agrada este reclamos, es maravilla",1
"fascinaria este reclamos, es satisfecho",1
"indigna este preguntas, es terrible",0
"gusta este preguntas, es rapido",1
"disgusta este quejas, es incompleto",0
"disgustaria este reclamos, es incompleto",0
"horroroso este quejas, es frustante",0
" complace este peticiones, es bueno",1
"horroroso este quejas, es despreciable",0
"gustaria este reclamos, es maravilla",1
" cautiva este quejas, es contento",1
"molesto este reclamos, es desagrada",0
" encanta este peticiones, es maravilloso",1
"desastroso este quejas, es horrible",0
"desastroso este peticiones, es ignorado",0
"gustaria este peticiones, es maravilla",1
" encanta este quejas, es satisfecho",1
"agrada este preguntas, es eficiente",1
"fascinaria este peticiones, es satisfecho",1
"agradaria este reclamos, es satisfecho",1
" sirve este peticiones, es estupendo",1
" fascina este reclamos, es favor",1
"terrible este preguntas, es terrible",0
"disgustaria este quejas, es grosero",0
" complace este reclamos, es contento",1
"terrible este peticiones, es desagrada",0
"encantaria este quejas, es fantastico",1
"malo este peticiones, es ignorado",0
"encantaria este preguntas, es asombroso",1
"terrible este quejas, es descontento",0
" complace este reclamos, es bueno",1
"disgusta este peticiones, es lamentable",0
"horrible este preguntas, es fallos",0
"encantaria este quejas, es fantastico",1
"horroroso este peticiones, es poco",0
"agrada este preguntas, es estupendo",1
"odio este quejas, es insatisfecho",0
"horrible este reclamos, es incompleto",0
"desastroso este preguntas, es fallos",0
" encanta este peticiones, es agradable",1
"gusta este reclamos, es excelente",1
"agradaria este quejas, es agradable",1
"terrible este reclamos, es despreciable",0
"horrible este preguntas, es incompleto",0
"horrible este preguntas, es decepcion",0
"molesto este peticiones, es incompleto",0
"desastroso este peticiones, es despreciable",0
"fascinaria este preguntas, es eficiente",1
" fascina este preguntas, es satisfecho",1
" encanta este reclamos, es agradable",1
"gusta este peticiones, es rapido",1
" encanta este reclamos, es increible",1
"odio este preguntas, es despreciable",0
" fascina este reclamos, es favor",1
"horrible este preguntas, es ignorado",0
"terrible este preguntas, es ineficiente",0
"molesto este preguntas, es horrible",0
" satisface este quejas, es rapido",1
"indigna este reclamos, es malo",0
"desastroso este preguntas, es horrible",0
"fascinaria este preguntas, es estupendo",1
"malo este quejas, es terrible",0
"agradaria este quejas, es maravilloso",1
"fascinaria este reclamos, es bueno",1
"agradaria este quejas, es favor",1
"terrible este preguntas, es lamentable",0
" sirve este reclamos, es increible",1
" encanta este peticiones, es maravilla",1
" fascina este reclamos, es maravilloso",1
"gusta este reclamos, es genial",1
"agradaria este preguntas, es asombroso",1
" encanta este preguntas, es genial",1
"molesto este peticiones, es lamentable",0
"molesto este peticiones, es ineficiente",0
"fascinaria este peticiones, es increible",1
"gusta este preguntas, es satisfecho",1
"molesto este reclamos, es despreciable",0
"agradaria este peticiones, es excelente",1
"indigna este quejas, es insatisfecho",0
"terrible este quejas, es terrible",0
"encantaria este preguntas, es eficiente",1
" cautiva este reclamos, es maravilloso",1
"malo este preguntas, es terrible",0
"horrible este peticiones, es horrible",0
"agrada este reclamos, es maravilla",1
" fascina este preguntas, es eficiente",1
"desastroso este preguntas, es poco",0
" cautiva este reclamos, es agradable",1
"encantaria este peticiones, es excelente",1
"fascinaria este quejas, es maravilla",1
"desastroso este preguntas, es problemas",0
"encantaria este quejas, es satisfecho",1
" cautiva este peticiones, es rapido",1
"encantaria este preguntas, es asombroso",1
"malo este preguntas, es ignorado",0
"odio este preguntas, es frustante",0
"horroroso este preguntas, es horrible",0
"agradaria este reclamos, es maravilla",1
"disgustaria este preguntas, es desagrada",0
" sirve este quejas, es maravilla",1
"terrible este quejas, es ignorado",0
"molesto este quejas, es lamentable",0
"encantaria este preguntas, es eficiente",1
"horroroso este quejas, es despreciable",0
"gusta este reclamos, es eficiente",1
"desastroso este peticiones, es incompleto",0
"agradaria este peticiones, es maravilloso",1
"agrada este quejas, es maravilloso",1
" sirve este preguntas, es rapido",1
"terrible este reclamos, es horrible",0
"odio este peticiones, es insatisfecho",0
"gustaria este preguntas, es maravilloso",1
" encanta este peticiones, es fantastico",1
"malo este quejas, es poco",0
"gustaria este reclamos, es genial",1
"fascinaria este peticiones, es gracias",1
"encantaria este preguntas, es agradable",1
" complace este quejas, es excelente",1
" cautiva este preguntas, es maravilla",1
"disgusta este reclamos, es incompleto",0
" cautiva este quejas, es agradable",1
"molesto este peticiones, es ignorado",0
"indigna este reclamos, es problemas",0
" satisface este reclamos, es rapido",1
"gusta este peticiones, es bueno",1
"odio este quejas, es despreciable",0
"molesto este peticiones, es decepcion",0
" sirve este preguntas, es rapido",1
"disgustaria este preguntas, es terrible",0
"disgusta este preguntas, es dificultades",0
" sirve este reclamos, es rapido",1
" fascina este preguntas, es agradable",1
"agrada este preguntas, es gracias",1
"desastroso este reclamos, es poco",0
"odio este preguntas, es incompleto",0
"odio este reclamos, es desagrada",0
"desastroso este quejas, es frustante",0
"gusta este preguntas, es bueno",1
" encanta este preguntas, es excelente",1
"encantaria este peticiones, es maravilloso",1
"agrada este preguntas, es excelente",1
"desastroso este quejas, es poco",0
"horroroso este quejas, es lamentable",0
" complace este reclamos, es contento",1
"gusta este preguntas, es bueno",1
"terrible este peticiones, es ignorado",0
" complace este preguntas, es excelente",1
" sirve este quejas, es satisfecho",1
"malo este reclamos, es incompleto",0
"terrible este reclamos, es desagrada",0
"molesto este reclamos, es fallos",0
"molesto este peticiones, es fallos",0
"disgusta este quejas, es horrible",0
"molesto este peticiones, es ignorado",0
"agradaria este quejas, es estupendo",1
"agradaria este reclamos, es estupendo",1
"malo este preguntas, es problemas",0
"gusta este preguntas, es agradable",1
"indigna este reclamos, es insatisfecho",0
"horroroso este preguntas, es malo",0
"malo este preguntas, es problemas",0
"desastroso este reclamos, es terrible",0
"terrible este quejas, es ignorado",0
"horrible este quejas, es grosero",0
"terrible este preguntas, es grosero",0
"horroroso este quejas, es terrible",0
"fascinaria este preguntas, es favor",1
"disgusta este peticiones, es ineficiente",0
"horrible este preguntas, es fallos",0
"gustaria este preguntas, es asombroso",1
"disgustaria este peticiones, es descontento",0
"horrible este quejas, es desagrada",0
"odio este preguntas, es decepcion",0
" sirve este peticiones, es maravilloso",1
"disgusta este quejas, es malo",0
"horrible este quejas, es frustante",0
"molesto este preguntas, es insatisfecho",0
"gusta este preguntas, es contento",1
"desastroso este reclamos, es insatisfecho",0
" encanta este peticiones, es fantastico",1
" cautiva este peticiones, es favor",1
"desastroso este preguntas, es decepcion",0
"gustaria este peticiones, es excelente",1
" sirve este preguntas, es excelente",1
" fascina este quejas, es favor",1
"gusta este reclamos, es increible",1
" encanta este quejas, es favor",1
"horrible este peticiones, es dificultades",0
" encanta este reclamos, es maravilla",1
" fascina este preguntas, es maravilloso",1
"desastroso este preguntas, es grosero",0
"agrada este quejas, es asombroso",1
"terrible este quejas, es desagrada",0
"odio este peticiones, es fallos",0
"disgusta este preguntas, es lamentable",0
"desastroso este reclamos, es desagrada",0
" encanta este preguntas, es excelente",1
"molesto este quejas, es poco",0
"terrible este reclamos, es ineficiente",0
"terrible este quejas, es problemas",0
"indigna este reclamos, es dificultades",0
"horroroso este preguntas, es problemas",0
" complace este peticiones, es genial",1
"agrada este reclamos, es maravilloso",1
"terrible este quejas, es fallos",0
"fascinaria este preguntas, es excelente",1
"desastroso este preguntas, es grosero",0
"molesto este preguntas, es problemas",0
" complace este reclamos, es gracias",1
"disgusta este preguntas, es decepcion",0
"agrada este quejas, es contento",1
"molesto este peticiones, es ignorado",0
"desastroso este preguntas, es descontento",0
" sirve este peticiones, es favor",1
"fascinaria este quejas, es rapido",1
"horrible este peticiones, es problemas",0
"odio este quejas, es decepcion",0
"horrible este peticiones, es problemas",0
"disgustaria este quejas, es horrible",0
"disgustaria este quejas, es incompleto",0
"agrada este peticiones, es favor",1
"malo este reclamos, es terrible",0
"terrible este reclamos, es fallos",0
"gustaria este peticiones, es fantastico",1
" cautiva este peticiones, es excelente",1
"odio este preguntas, es horrible",0
"odio este quejas, es descontento",0
" encanta este reclamos, es maravilloso",1
"horroroso este quejas, es incompleto",0
"fascinaria este peticiones, es maravilloso",1
" cautiva este reclamos, es satisfecho",1
"horroroso este preguntas, es malo",0
"indigna este peticiones, es malo",0
"horroroso este quejas, es fallos",0
"fascinaria este peticiones, es contento",1
"gustaria este quejas, es contento",1
"disgusta este preguntas, es grosero",0
" cautiva este quejas, es eficiente",1
"horroroso este peticiones, es ineficiente",0
"horrible este reclamos, es desagrada",0
"agrada este reclamos, es maravilloso",1
"horroroso este reclamos, es descontento",0
" complace este quejas, es bueno",1
"gustaria este preguntas, es bueno",1
" fascina este reclamos, es satisfecho",1
"agrada este quejas, es gracias",1
" fascina este quejas, es asombroso",1
"gusta este preguntas, es gracias",1
"horrible este reclamos, es fallos",0
"disgustaria este reclamos, es desagrada",0
"encantaria este reclamos, es satisfecho",1
" fascina este preguntas, es contento",1
"disgustaria este peticiones, es terrible",0
" satisface este quejas, es asombroso",1
"fascinaria este preguntas, es maravilloso",1
"odio este quejas, es despreciable",0
" fascina este preguntas, es satisfecho",1
"agradaria este reclamos, es fantastico",1
" cautiva este quejas, es agradable",1
"disgustaria este quejas, es ineficiente",0
"odio este reclamos, es dificultades",0
"fascinaria este peticiones, es eficiente",1
" complace este quejas, es gracias",1
" encanta este preguntas, es excelente",1
" sirve este quejas, es maravilla",1
"agradaria este reclamos, es maravilloso",1
"horroroso este quejas, es lamentable",0
"indigna este quejas, es descontento",0
"gustaria este quejas, es bueno",1
"horrible este quejas, es descontento",0
" complace este preguntas, es estupendo",1
"disgusta este preguntas, es despreciable",0
"terrible este preguntas, es descontento",0
"fascinaria este preguntas, es genial",1
" cautiva este peticiones, es contento",1
" sirve este preguntas, es satisfecho",1
"fascinaria este preguntas, es rapido",1
"horroroso este reclamos, es insatisfecho",0
"disgustaria este preguntas, es horrible",0
"encantaria este quejas, es genial",1
"encantaria este preguntas, es maravilloso",1
"gusta este quejas, es estupendo",1
"horrible este preguntas, es frustante",0
" encanta este peticiones, es genial",1
"disgusta este quejas, es incompleto",0
"encantaria este quejas, es increible",1
" cautiva este preguntas, es maravilla",1
"agrada este quejas, es eficiente",1
"fascinaria este reclamos, es bueno",1
" encanta este quejas, es increible",1
"horrible este quejas, es problemas",0
"encantaria este preguntas, es excelente",1
"malo este quejas, es problemas",0
"agradaria este peticiones, es asombroso",1
"gusta este quejas, es bueno",1
"indigna este peticiones, es fallos",0
"fascinaria este peticiones, es bueno",1
"disgusta este reclamos, es poco",0
"horrible este peticiones, es fallos",0
"horrible este reclamos, es ignorado",0
"gustaria este preguntas, es bueno",1
" satisface este peticiones, es estupendo",1
"agrada este preguntas, es satisfecho",1
"desastroso este preguntas, es malo",0
"molesto este peticiones, es malo",0
"disgustaria este reclamos, es horrible",0
"disgustaria este peticiones, es terrible",0
"encantaria este reclamos, es asombroso",1
"disgusta este quejas, es poco",0
"agrada este preguntas, es increible",1
"indigna este preguntas, es poco",0
"indigna este quejas, es poco",0
"desastroso este preguntas, es poco",0
"malo este quejas, es fallos",0
"odio este quejas, es despreciable",0
"desastroso este preguntas, es dificultades",0
"agradaria este reclamos, es maravilla",1
"fascinaria este reclamos, es eficiente",1
" satisface este preguntas, es contento",1
"horrible este peticiones, es malo",0
" sirve este reclamos, es excelente",1
"fascinaria este reclamos, es eficiente",1
"horroroso este quejas, es insatisfecho",0
"agradaria este preguntas, es rapido",1
" complace este preguntas, es excelente",1
"disgustaria este peticiones, es frustante",0
"indigna este peticiones, es problemas",0
"desastroso este reclamos, es desagrada",0
"gusta este peticiones, es genial",1
"terrible este peticiones, es poco",0
"disgusta este peticiones, es dificultades",0
" satisface este peticiones, es eficiente",1
" encanta este preguntas, es estupendo",1
"terrible este reclamos, es horrible",0
" encanta este quejas, es satisfecho",1
" cautiva este quejas, es maravilla",1
"molesto este preguntas, es ignorado",0
"horroroso este peticiones, es dificultades",0
"indigna este preguntas, es dificultades",0
"malo este quejas, es despreciable",0
"gusta este peticiones, es increible",1
"desastroso este quejas, es ineficiente",0
"gusta este preguntas, es agradable",1
"disgustaria este quejas, es desagrada",0
"horroroso este preguntas, es incompleto",0
"agradaria este reclamos, es estupendo",1
"indigna este peticiones, es lamentable",0
" satisface este peticiones, es rapido",1
"disgusta este reclamos, es malo",0
"agrada este reclamos, es estupendo",1
"indigna este quejas, es insatisfecho",0
"terrible este quejas, es decepcion",0
"gusta este quejas, es estupendo",1
" encanta este preguntas, es agradable",1
"disgusta este peticiones, es problemas",0
" fascina este peticiones, es maravilla",1
"horrible este peticiones, es dificultades",0
" cautiva este preguntas, es maravilla",1
"odio este preguntas, es dificultades",0
"encantaria este reclamos, es excelente",1
"agradaria este quejas, es asombroso",1
" complace este reclamos, es fantastico",1
"desastroso este peticiones, es frustante",0
"disgustaria este peticiones, es incompleto",0
" complace este preguntas, es asombroso",1
"disgusta este quejas, es lamentable",0
"agrada este reclamos, es rapido",1
"encantaria este quejas, es maravilloso",1
"disgusta este quejas, es frustante",0
"terrible este quejas, es problemas",0
" satisface este peticiones, es gracias",1
"terrible este preguntas, es problemas",0
"disgusta este preguntas, es descontento",0
"horroroso este preguntas, es poco",0
" fascina este reclamos, es asombroso",1
"indigna este quejas, es poco",0
" encanta este reclamos, es excelente",1
"horrible este peticiones, es problemas",0
"agrada este quejas, es gracias",1
"fascinaria este quejas, es excelente",1
"odio este peticiones, es horrible",0
"agrada este reclamos, es gracias",1
"horrible este peticiones, es frustante",0
"horrible este quejas, es despreciable",0
"gusta este reclamos, es estupendo",1
" cautiva este peticiones, es agradable",1
"horrible este quejas, es ignorado",0
"horrible este reclamos, es incompleto",0
" complace este peticiones, es bueno",1
" sirve este reclamos, es maravilla",1
"gustaria este reclamos, es contento",1
"desastroso este reclamos, es fallos",0
"agrada este quejas, es estupendo",1
"agradaria este preguntas, es genial",1
" satisface este preguntas, es estupendo",1
" satisface este reclamos, es maravilla",1
" sirve este quejas, es maravilla",1
"terrible este quejas, es lamentable",0
"indigna este quejas, es dificultades",0
" encanta este peticiones, es estupendo",1
"disgusta este reclamos, es ineficiente",0
"gusta este peticiones, es agradable",1
"terrible este preguntas, es horrible",0
" satisface este quejas, es agradable",1
"molesto este peticiones, es desagrada",0
"desastroso este preguntas, es grosero",0
"horroroso este quejas, es fallos",0
"indigna este peticiones, es problemas",0
"odio este quejas, es poco",0
" sirve este preguntas, es fantastico",1
"molesto este peticiones, es fallos",0
"disgusta este quejas, es horrible",0
"disgusta este preguntas, es lamentable",0
"fascinaria este peticiones, es excelente",1
"horrible este preguntas, es fallos",0
"gustaria este reclamos, es eficiente",1
"odio este quejas, es dificultades",0
"molesto este reclamos, es decepcion",0
"fascinaria este peticiones, es maravilla",1
"horrible este reclamos, es problemas",0
" satisface este preguntas, es increible",1
"horrible este preguntas, es horrible",0
"agradaria este peticiones, es increible",1
"fascinaria este preguntas, es favor",1
"molesto este peticiones, es terrible",0
"agrada este peticiones, es agradable",1
" sirve este quejas, es gracias",1
"fascinaria este peticiones, es genial",1
"desastroso este reclamos, es malo",0
"disgusta este reclamos, es problemas",0
"gusta este reclamos, es eficiente",1
"fascinaria este preguntas, es excelente",1
" satisface este reclamos, es rapido",1
"odio este peticiones, es incompleto",0
" satisface este preguntas, es rapido",1
" sirve este reclamos, es maravilla",1
"indigna este quejas, es desagrada",0
"terrible este peticiones, es grosero",0
" fascina este quejas, es contento",1
"agradaria este peticiones, es eficiente",1
"encantaria este preguntas, es asombroso",1
"gustaria este peticiones, es favor",1
"desastroso este reclamos, es descontento",0
"horrible este peticiones, es despreciable",0
" encanta este preguntas, es gracias",1
" satisface este reclamos, es asombroso",1
" complace este quejas, es eficiente",1
"desastroso este quejas, es horrible",0
" satisface este quejas, es favor",1
"agradaria este reclamos, es agradable",1
"horroroso este preguntas, es horrible",0
"gusta este peticiones, es gracias",1
"horroroso este peticiones, es malo",0
"disgusta este quejas, es fallos",0
"molesto este preguntas, es problemas",0
" encanta este quejas, es satisfecho",1
"fascinaria este peticiones, es excelente",1
"desastroso este preguntas, es grosero",0
"indigna este quejas, es malo",0
" fascina este peticiones, es favor",1
"disgusta este preguntas, es malo",0
"malo este reclamos, es terrible",0
"malo este reclamos, es malo",0
" sirve este quejas, es favor",1
" satisface este preguntas, es excelente",1
"disgustaria este peticiones, es insatisfecho",0
"desastroso este reclamos, es problemas",0
"fascinaria este preguntas, es maravilla",1
"disgustaria este reclamos, es despreciable",0
"disgusta este quejas, es insatisfecho",0
"malo este reclamos, es problemas",0
" encanta este peticiones, es asombroso",1
" encanta este preguntas, es satisfecho",1
" encanta este reclamos, es favor",1
"disgustaria este peticiones, es grosero",0
"indigna este preguntas, es frustante",0
"disgusta este quejas, es ignorado",0
"encantaria este peticiones, es fantastico",1
"terrible este reclamos, es grosero",0
"encantaria este preguntas, es contento",1
" encanta este quejas, es satisfecho",1
"disgustaria este reclamos, es grosero",0
" fascina este quejas, es eficiente",1
"gusta este peticiones, es contento",1
"agrada este preguntas, es excelente",1
"disgustaria este quejas, es despreciable",0
"indigna este quejas, es malo",0
" cautiva este peticiones, es maravilla",1
"disgusta este preguntas, es malo",0
"indigna este quejas, es malo",0
"terrible este reclamos, es dificultades",0
"disgustaria este quejas, es poco",0
"fascinaria este quejas, es gracias",1
"gusta este reclamos, es gracias",1
"indigna este reclamos, es lamentable",0
"odio este quejas, es fallos",0
"disgusta este preguntas, es descontento",0
"horrible este peticiones, es ignorado",0
"horroroso este quejas, es ineficiente",0
"agradaria este peticiones, es satisfecho",1
"horroroso este preguntas, es fallos",0
"disgustaria este quejas, es terrible",0
"agrada este quejas, es asombroso",1
"disgustaria este quejas, es incompleto",0
"disgustaria este preguntas, es dificultades",0
"agrada este peticiones, es excelente",1
"desastroso este quejas, es lamentable",0
" complace este quejas, es gracias",1
"fascinaria este peticiones, es contento",1
" fascina este quejas, es genial",1
"odio este quejas, es descontento",0
"molesto este quejas, es frustante",0
" complace este preguntas, es estupendo",1
"disgusta este preguntas, es problemas",0
" cautiva este preguntas, es fantastico",1
"disgusta este quejas, es poco",0
"terrible este peticiones, es grosero",0
"agradaria este peticiones, es satisfecho",1
"horroroso este quejas, es grosero",0
" cautiva este preguntas, es fantastico",1
" encanta este reclamos, es favor",1
"disgustaria este peticiones, es frustante",0
"agradaria este peticiones, es satisfecho",1
"malo este preguntas, es terrible",0
"indigna este preguntas, es fallos",0
"agrada este peticiones, es fantastico",1
"gustaria este preguntas, es bueno",1
"terrible este preguntas, es incompleto",0
"disgusta este peticiones, es lamentable",0
"malo este peticiones, es despreciable",0
"fascinaria este quejas, es satisfecho",1
"fascinaria este reclamos, es favor",1
"molesto este quejas, es despreciable",0
"odio este peticiones, es grosero",0
"gustaria este quejas, es bueno",1
" sirve este preguntas, es agradable",1
" complace este quejas, es contento",1
"encantaria este preguntas, es fantastico",1
"disgustaria este reclamos, es incompleto",0
"disgustaria este quejas, es decepcion",0
"indigna este peticiones, es lamentable",0
"encantaria este preguntas, es fantastico",1
"disgusta este preguntas, es despreciable",0
"horroroso este reclamos, es poco",0
"malo este reclamos, es terrible",0
"molesto este reclamos, es malo",0
"desastroso este quejas, es insatisfecho",0
"malo este preguntas, es horrible",0
"indigna este reclamos, es frustante",0
" cautiva este peticiones, es fantastico",1
" encanta este reclamos, es agradable",1
" complace este peticiones, es increible",1
"disgustaria este preguntas, es dificultades",0
" fascina este peticiones, es gracias",1
"horrible este quejas, es decepcion",0
"encantaria este quejas, es fantastico",1
" encanta este reclamos, es favor",1
"gusta este reclamos, es bueno",1
"disgusta este peticiones, es lamentable",0
"odio este preguntas, es lamentable",0
"gustaria este quejas, es eficiente",1
"malo este reclamos, es lamentable",0
"desastroso este reclamos, es poco",0
"disgusta este reclamos, es lamentable",0
" encanta este preguntas, es excelente",1
"terrible este preguntas, es descontento",0
" cautiva este reclamos, es excelente",1
"malo este peticiones, es despreciable",0
"molesto este peticiones, es horrible",0
"molesto este peticiones, es lamentable",0
"agrada este quejas, es rapido",1
" cautiva este preguntas, es excelente",1
"disgusta este peticiones, es dificultades",0
"odio este peticiones, es incompleto",0
" encanta este preguntas, es rapido",1
"disgustaria este preguntas, es ignorado",0
"agrada este peticiones, es maravilla",1
"terrible este quejas, es desagrada",0
"desastroso este peticiones, es lamentable",0
"encantaria este peticiones, es increible",1
"odio este peticiones, es fallos",0
"molesto este peticiones, es frustante",0
"desastroso este peticiones, es horrible",0
"agradaria este preguntas, es maravilloso",1
"agradaria este preguntas, es eficiente",1
"disgusta este preguntas, es incompleto",0
"horrible este preguntas, es problemas",0
"agradaria este peticiones, es excelente",1
"horrible este preguntas, es desagrada",0
"malo este reclamos, es despreciable",0
"indigna este peticiones, es frustante",0
"desastroso este peticiones, es horrible",0
"fascinaria este reclamos, es estupendo",1
" cautiva este peticiones, es fantastico",1
"fascinaria este preguntas, es maravilloso",1
"odio este quejas, es terrible",0
"terrible este quejas, es malo",0
"malo este peticiones, es terrible",0
"gustaria este quejas, es maravilloso",1
"agrada este preguntas, es contento",1
